movie_title,year,episode,song_title,artists,song_id,track_id
como nascem os anjos,"[1996, 1973]",nan,magrelinha,luiz melodia,183207.0,396625.0
the rocketeer,1991,nan,in a sentimental mood,duke ellington / john coltrane,205268.0,682002.0
angel eyes,2001,nan,in a sentimental mood,duke ellington / john coltrane,205268.0,349676.0
world championship snooker,"[1973, 2008]",2015: day 8  part 2 (#43.40),one day like this,elbow,751687.0,321245.0
arena,"[1975, 1964]",woody guthrie,talking dust bowl blues,woody guthrie,419818.0,16019.0
the good wife,"[2009, 2005]",here comes the judge (#4.8),officer (album version),kate earl,141142.0,246671.0
the weird world of blowfly,2010,nan,clean up woman (single/lp version),clarence reid+willie clarke+betty wright,953151.0,690840.0
willkommen ï¿½sterreich,2007,(#1.102),clean up woman (single/lp version),betty wright,953151.0,319283.0
the truth about charlie,"[2002, 1999]",nan,hasta llegar,i. mellino+m. crespin+m. estrade+stefane mellino+jm paulus+les nï¿½gresses vertes+arrangement with virgin records america+inc.,192603.0,688523.0
la turbulence des fluides,"[2002, 2000]",nan,deer stop,goldfrapp,235997.0,509403.0
the living end,1992,nan,i.c. water - live,psychic tv,396892.0,670893.0
the comedian,"[2012, 2001]",nan,witness (1 hope),roots manuva,27144.0,653661.0
toast of the town,"[1948, 1964]",(#17.30),i'm the one,gerry marsden+gerry+the pacemakers,398757.0,295863.0
el infierno,2010,nan,caminos de guanajuato,jose alfredo jimenez+los alegres de teran,824088.0,427354.0
me  myself & irene,2000,nan,reelin' in the years,donald fagen+walter becker  )+marvelous 3,308979.0,536406.0
cometogether,"[1971, 1968]",nan,games people play,joe south,925367.0,396097.0
the neverending story iii,"[1994, 1968]",nan,games people play,joe south+inner circle,925367.0,675435.0
sex and the city,1998,cock-a-doodle-do (#3.18),above the clouds (love & pain mix),amber,873302.0,206666.0
one tree hill,2003,for tonight youre only here to know (#5.9),never even told me her name (live at the ica),air traffic,449633.0,172899.0
james at 15,1977,star-crossed lovers (#1.11),any way that you want me,randy richards,21235.0,123524.0
men in trees,2006,taking the lead (#2.19),fill me up,shawn colvin,348345.0,152210.0
young soul rebels,1991,nan,rock creek park,the blackbyrds,498576.0,730803.0
daria,1997,groped by an angel (#4.11),what cha like,da brat / tyrese,620408.0,60808.0
zabriskie point,"[1970, 2007]",nan,mickeys tune,david lindley+the kaleidoscope,3319.0,731416.0
the station,"[2009, 1989]",nan,love song,tesla,257497.0,685816.0
bmx xxx,"[2002, 1997]",nan,step into a world (rapture's delight),krs-one,706951.0,356439.0
criminal minds,"[2005, 2004]",the popular kids (#1.10),hate,drowning pool,52705.0,52095.0
dear america: letters home from vietnam,"[1987, 1969]",nan,fortunate son,john fogerty+creedence clearwater revival,227393.0,408767.0
my name is earl,"[2005, 1969]",cost dad the election (#1.9),fortunate son,john fogerty+creedence clearwater revival,227393.0,162423.0
caring & sharing,"[2016, 1969]",nan,fortunate son,creedence clearwater revival,227393.0,384863.0
melrose place,"[1992, 1993]",bye bye billy (#1.24),the right kind of love (lp version),jeremy jordan,366033.0,150955.0
speak easily,1932,nan,can broadway do without me (show girl 1929),jimmy durante,478052.0,625543.0
made in chelsea,"[2011, 2007]",no one likes a banjo (#2.4),hearts on fire,cut copy,544402.0,146854.0
gent de paraula,2010,(#3.1),luna tucumana,atahualpa yupanqui+mercedes sosa,21110.0,96230.0
der krieger und die kaiserin,"[2000, 1999]",nan,autumnal,arab strap,55446.0,411022.0
auf wiedersehen  pet,"[1983, 2002]",nan,why aye man,mark knopfler,193209.0,18293.0
i saw the light,"[2015, 1998]",nan,i can't get you off of my mind,hank williams+tom hiddleston+the saddle spring boys,177073.0,479696.0
theres something about ashley: the story of headstrong,2006,nan,he said she said [von doom radio edit],j.r. rotem+evan bogart+ryan tedder+ashley tisdale,255304.0,693430.0
the hills,2006,young hollywood (#3.13),he said she said [von doom radio edit],j.r. rotem+evan bogart+ryan tedder+ashley tisdale,255304.0,247877.0
later... with jools holland,"[1992, 2009]",(#34.4),22 (acoustic),lily allen,22415.0,136398.0
lackawanna blues,"[2005, 1995]",nan,one dime blues,etta baker,128493.0,509829.0
faithful,1996,nan,kuchh is ada se aaj,abida parveen+jigar muradabadi,389170.0,435788.0
household saints,"[1993, 1970]",nan,lay down (candles in the wind),melanie+melanie   with the edwin hawkins singers+arrangement with celebrity licensing+inc.,456783.0,475956.0
the midnight special,1972,(#1.20),if i were a child again (live in chicago),curtis mayfield,646260.0,255851.0
la cicatrice intï¿½rieure,1972,nan,janitor of lunacy,nico,451752.0,507127.0
new orleans,"[1947, 1987]",nan,honky tonk train blues,meade 'lux' lewis,868891.0,555310.0
ray donovan,"[2013, 1994]",housewarming (#1.6),how high,the salsoul orchestra,380052.0,192901.0
so you think you can dance,"[2005, 2007]",top 10 perform (#5.16),marina gasolina,bonde do rolï¿½,618628.0,216907.0
movistar mï¿½sica,2009,sinergia,te enojai por todo,sinergia,720016.0,159348.0
spoonfed reality,2011,nan,rootless tree [radio edit],damien rice,593450.0,626637.0
the butcher,"[2013, 2005]",nan,mamma voglio anch'io la fidanzata,o. de santis+e. del pino+natalino otto,490146.0,651817.0
the master of disguise,"[2002, 2001]",nan,irresistible,anders bagge+pam sheyne+arnthor birgisson+jessica simpson+arrangement with sony music licensing,450576.0,673138.0
top of the pops,"[1964, 2001]",(2001-07-13),irresistible,jessica simpson,450576.0,303742.0
playing the field,"[1998, 1986]",(#4.2),thorn in my side,eurythmics,353312.0,182228.0
great performances,"[1971, 2007]",we love ella! a tribute to the first lady of song (#35.22),too close for comfort,jerry bock+george david weiss+lawrence holofcener+michael bublï¿½,485159.0,102231.0
wanderlust,"[2006, 1995]",nan,the new timer,bruce springsteen,536853.0,717249.0
reading and leeds festival,2009,best bits (#1.7),i bet you look good on the dancefloor (single version),arctic monkeys,51888.0,193116.0
teenage caveman,"[2002, 1979]",nan,where eagles dare,glenn danzig+the misfits,797696.0,640849.0
shindig! presents british invasion vol. 2,"[1992, 1965]",nan,tell her no,rod argent+the zombies,535556.0,612601.0
hin und weg,"[2014, 1997]",nan,rhythm is a dancer (roll on),snap!,264886.0,470631.0
when snooker ruled the world,"[2002, 1997]",nan,gangsters,jerry dammers+the specials,12349.0,721874.0
fringe,"[2008, 2009]",olivia. in the lab. with the revolver (#2.17),the losing end again,neal casal,42033.0,93331.0
forty years of fuck,"[2005, 1964]",nan,a shot in the dark,henry mancini,786282.0,443528.0
entourage,2004,the script and the sherpa (#1.5),1st things 1st,phantom planet,412290.0,83804.0
the age of believing: the disney live action classics,2008,nan,candle on the water (live),al kasha+joel hirschhorn+helen reddy,438891.0,646075.0
una rosa de francia,"[2006, 2001]",nan,bonito y sabroso,benny morï¿½,146385.0,708028.0
berlin calling,"[2008, 2009]",nan,sky and sand,paul & fritz kalkbrenner,368173.0,364811.0
the lady in red,"[1979, 2005]",nan,if i could be with you,james p. johnson,178614.0,668596.0
danville 2nd ward young men,"[2008, 2005]",big sur 2014 (#6.6),if i could,jack johnson,178614.0,60524.0
winter meeting,"[1948, 2005]",nan,if i could be with you,james p. johnson,178614.0,725496.0
young man with a horn,"[1950, 2005]",nan,if i could be with you,james p. johnson,178614.0,730725.0
south sea woman,"[1953, 2005]",nan,if i could be with you,james p. johnson,178614.0,624633.0
u2: under a blood red sky,1983,nan,new year's day,u2+lyrics by bono,644693.0,706518.0
vertigo 2005: u2 live from chicago,"[2005, 1983]",nan,new year's day,u2,644693.0,713036.0
el club,2015,nan,cantus in memory of benjamin britten for strings and bells,arvo pï¿½rt+hungarian state opera orchestra+tamas benedek,501361.0,426315.0
my story: struggling  bullying  suicide  self harm,"[2012, 2004]",nan,breathe me,sia,892137.0,550769.0
the victorias secret fashion show,"[2006, 2004]",nan,breathe me,sia,892137.0,689616.0
zum teufel mit der wahrheit,"[2015, 2004]",nan,breathe me,sia,892137.0,732899.0
the freddy krueger special,1988,nan,are you ready for freddy?,the fat boys,329177.0,660778.0
la chanson de lannï¿½e,"[2004, 2003]",(#1.1),sur un air latino,lorie pester,159488.0,132388.0
men without hats: safety dance,"[1983, 1992]",nan,safety dance,ivan doroschuk+men without hats,924244.0,538213.0
beer: the movie 2 - leaving long island,"[2006, 1985]",nan,move on,the royal tease,266469.0,363361.0
hardcore henry,"[2015, 1998]",nan,have the time,victor ruggiero+the slackers,325094.0,464402.0
de alaska a fangoria,"[2004, 1984]",nan,isis,carlos garcï¿½a berlanga+nacho canut+alaska y dinarama,856775.0,406928.0
now is good,"[2012, 2007]",nan,no surprise,james yuill   ï¿½ 2007+james yuill,929884.0,560641.0
made in chelsea,"[2011, 2009]",im so honest with everyone  maybe its a downfall (#1.3),black & blue,miike snow,210342.0,146774.0
spun,"[2002, 2000]",nan,automatic lover,teddybears sthlm,701138.0,627069.0
chun gwong cha sit,"[1997, 2000]",nan,milonga for three,astor piazzolla,957720.0,391962.0
top of the pops,"[1964, 2010]",(1980-09-11),united (live),judas priest,584936.0,301232.0
the real world of peter gabriel,2009,nan,the tower that ate people (radio edit mix),peter gabriel,117133.0,680843.0
saturday night live,"[1975, 2008]",neil patrick harris/taylor swift (#34.12),forever & always,taylor swift,561631.0,202812.0
fakta homma,1987,nan,vanhan vaahteran laulu,eino partanen+jaakko salo,653976.0,435811.0
mind the gap,2004,nan,goldfish,matthew puckett,645432.0,541401.0
bronson,2008,nan,the electrician,scott walker+the walker brothers,37189.0,378279.0
no 73,"[1982, 1996]",offers & rites (#4.6),love all day (and night),nick heyward,434311.0,167406.0
wwe smackdown vs. raw 2011,2010,nan,no chance in hell,jim johnston with peter bursuker,767457.0,715950.0
brï¿½tal legend,"[2009, 1984]",nan,metal thrashing mad,neil turbin+dan spitz+scott ian+danny lilker+charlie benante+anthrax,781901.0,378919.0
the girl next door,"[2004, 2003]",nan,turn of the century,pete yorn+arrangement with sony music licensing,178470.0,661831.0
terug naar moreelse park,"[2008, 1957]",nan,the train and the river (lp version),the jimmy giuffre three,452363.0,642134.0
the sacrament,2013,nan,heartbeats (live),the knife,913034.0,682639.0
zombieland,"[2009, 2006]",nan,death prayer in heaven's orchard,ethan miller+howlin rain,905260.0,732571.0
old number seven,"[2009, 2003]",nan,face in the sand,bruce dickinson+steve harris+adrian smith+iron maiden,745987.0,564209.0
mystery date,"[1991, 1989]",nan,lily was here,david a. stewart   introducing candy dulfer+david a. stewart,609226.0,551066.0
that old feeling,1997,nan,o sole mio,giovanni capurro+eduardo di capua+alfredo mazzucchi+mario lanza,465753.0,642900.0
reading and leeds festival,2009,best bits (#1.7),stuck on repeat (album version),little boots,338198.0,193114.0
tete montoliu  una mirada,"[2007, 2009]",nan,in walked bud,thelonious monk,99103.0,642226.0
any questions for ben?,"[2012, 2009]",nan,like it loud,cassie davis,296216.0,351527.0
goin to town,"[1935, 2006]",nan,he's a bad man,sammy fain+mae west,394059.0,454275.0
reprise,"[2006, 1980]",nan,set the house ablaze,paul weller+the jam,951658.0,592676.0
cmt top 20 countdown,"[2001, 2008]",(2009-03-20),always the love songs,eli young band,175702.0,39110.0
elvis costello and the imposters: live in memphis,"[2005, 2004]",nan,the delivery man,elvis costello & the imposters,152983.0,429242.0
six feet under,"[2001, 2005]",untitled (#4.12),in the black of night (jason bentley remix),slow train soul,104891.0,213764.0
carol,2015,nan,a garden in the rain,al alberts+the four aces+carroll gibbons+james dyrenforth,119929.0,385291.0
the victorias secret fashion show,2006,nan,my love,justin timberlake featuring t.i.,634225.0,689621.0
walking tall,"[2004, 1976]",nan,feelin' alright,dave mason+joe cocker,927355.0,716897.0
invincible,"[2006, 1976]",nan,feelin' alright,dave mason+grand funk railroad,927355.0,486383.0
skatetown  u.s.a.,"[1979, 1976]",nan,feelin' alright,dave mason,927355.0,617642.0
love & mercy,"[2014, 2004]",nan,heroes and villains,brian wilson+van dyke parks,723492.0,524534.0
mayor of the sunset strip,"[2003, 2004]",nan,heroes and villains,brian wilson+van dyke parks+the beach boys,723492.0,535910.0
bill & teds bogus journey,"[1991, 1990]",nan,tommy the cat,primus,202567.0,367868.0
boob jobs & jesus,"[2008, 2006]",nan,it's christmas! let's be glad!,sufjan stevens,566691.0,373430.0
the psychedelic furs: live from the house of blues,"[2001, 1987]",nan,heartbreak beat,john ashton+richard butler+tim butler+the psychedelic furs,955945.0,679912.0
shes having a baby,"[1988, 1991]",nan,apron strings (live),ben watt+tracey thorn+everything but the girl,231134.0,611899.0
waveriders,"[2008, 2007]",nan,child song,jason swinscoe+the cinematic orchestra,143265.0,718275.0
the wendell baker story,"[2005, 1971]",nan,kiss an angel good morning,ben peters+charley pride+arrangement with sony bmg music licensing,397609.0,690868.0
9th annual country music association awards,"[1975, 1971]",nan,kiss an angel good morning,ben peters+charley pride,397609.0,331273.0
top of the pops,"[1964, 1978]",(1978-06-29),airport,andy mcmaster+the motors,922954.0,299803.0
the crimson canary,1945,nan,joshua fit the battle of jericho (lp version),josh white,194792.0,654604.0
burn the whole place down,"[2009, 2008]",nan,cold,hey negrita,758676.0,380457.0
the tennessee ernie ford show,"[1956, 1998]",tony bennett (#5.11),cold  cold heart,tennessee ernie ford+tony bennett,185278.0,272325.0
brainscan,"[1994, 1993]",nan,triad,pitchshifter,55511.0,375430.0
tell them anything you want: a portrait of maurice sendak,2009,nan,lost fur,carter burwell,143613.0,641154.0
venus,2006,nan,breathless,corinne bailey rae+marc nelkin,619158.0,712842.0
shotgun stories,2007,nan,into the night (2002 version),benny mardones,65531.0,613449.0
house m.d.,"[2004, 1946]",house vs. god (#2.19),my journey to the sky,sister rosetta tharpe and marie knight,421370.0,113348.0
prostituta,"[2011, 1994]",nan,you can leave your hat on (live),joe cocker,791195.0,584190.0
the girl,2012,nan,love takes time,orleans+larry hoppen+marilyn mason+arrangment with spirit music group+inc.,415600.0,661731.0
shindig!,"[1964, 1966]",(#1.48),hung on you,phil spector+gerry goffin+carole king+the righteous brothers,456356.0,210947.0
sid and nancy,"[1986, 1982]",nan,paranoid,black sabbath+tony iommi   / geezer butler   / bill ward    / ozzy osbourne,562908.0,614584.0
the united states merchant marine cadet corps band,1944,nan,corrine  corrina,bo carter+mitchell parish+spencer williams,742439.0,689160.0
the buddy holly story,1978,nan,corrine  corrina,j. mayo williams+mitchell parish+bo carter+big joe turner,742439.0,651635.0
county kilburn,2000,nan,rudy  a message to you,dandy livingstone,752878.0,399230.0
chef,2014,nan,rudy  a message to you,dandy livingstone+grant phabao+carlton livingston+the lone ranger,752878.0,389536.0
scrubs,"[2001, 2002]",my dirty secret (#3.9),do it again,stroke nine,72683.0,205028.0
christmas holiday,1944,nan,o come all ye faithful,cathedral choir in midnight mass,106662.0,391453.0
the x factor,"[2004, 2009]",(#6.22),did it again,shakira,135374.0,286294.0
local hero,1983,nan,freeway flyer,mark knopfler+alan clark+hal lindes+john illsley+terry williams,390538.0,521623.0
lou,2010,nan,free,olivia waithe+eliseus joseph jr+julian griffith+livvi franc,317776.0,524309.0
morfi  todos a la mesa,"[2015, 1994]",(2016-09-18),puerto pollensa,marilina ross+sandra mihanovich,311913.0,158913.0
aya: awakenings,2013,nan,divine movements of truth,shpongle,126044.0,356069.0
the kremlin letter,"[1970, 1960]",nan,stay,maurice williams & the zodiacs,735883.0,668416.0
io e te,2012,nan,sing for absolution [full length us remix],muse,532101.0,486466.0
see spot run,2001,nan,as long as you're loving me (lp version),shelly peiken+guy roche+vitamin c+arrangement with warner special products,771166.0,608211.0
go for it,"[2016, 1985]",(#1.4),could it be i'm falling in love,david grant & jaki graham,927004.0,99389.0
this is my life,"[1992, 1995]",nan,back the way,carly simon,557691.0,694923.0
the nanny diaries,2007,nan,the fact is ( i need you),pete kuzma+jill scott,457719.0,675151.0
any which way you can,"[1980, 1989]",nan,whiskey heaven,cliff crofford+john durrill+snuff garrett+fats domino,247343.0,351581.0
les gars de la une,"[1988, 1969]",nan,que je t'aime,johnny hallyday,494536.0,516110.0
the rolling stones rock and roll circus,"[1996, 1969]",nan,you can't always get what you want,mick jagger+keith richards+the rolling stones,177889.0,682058.0
raising hope,"[2010, 1969]",i want my baby back  baby back  baby back (#2.22),you can't always get what you want,mick jagger+keith richards+the rolling stones,177889.0,192164.0
ea sports fifa 11,2010,nan,flash delirium,mgmt,932025.0,424138.0
tenacious d in the pick of destiny,2006,nan,break in-city (storm the gate!),jack black+kyle gass+john king+liam lynch+tenacious d,646424.0,641483.0
long gone,1987,nan,don't ask me to be lonely (lp version),the dubs+hiram johnson+richard blandon,362860.0,522276.0
levitation,"[1997, 1984]",nan,aerial boundaries,michael hedges,712905.0,517588.0
beavis and butt-head,"[1993, 1994]",held back (#5.1),grudge,the dylans,862212.0,25115.0
the life of david gale,"[2003, 1998]",nan,halloween theme,john carpenter,365643.0,670360.0
halloween ii,"[2009, 1998]",nan,halloween theme,john carpenter,365643.0,462613.0
little nellie kelly,1940,nan,a pretty girl milking her cow,roger edens+judy garland  after jerry proposes,955177.0,520254.0
top of the pops,"[1964, 1999]",(2001-03-02),here with me,dido,753892.0,303583.0
the flamingo kid,"[1984, 2005]",nan,south street,the orlons,259399.0,660245.0
fifa soccer 07,2006,nan,nothing in my way,keane,350034.0,435213.0
the martins,"[2001, 1996]",nan,game of love,clint ballard jr.+wayne fontana+the mindbenders,117370.0,673043.0
the british invasion returns,"[2000, 1996]",nan,game of love,hank ballard+wayne fontana+the mindbenders,117370.0,651334.0
the johnny cash show,1969,history of country music: part 2 (#2.17),going steady,faron young,206177.0,250266.0
need for speed: carbon,"[2006, 2005]",nan,people always talk about the weather (junkie xl remix),yonderboi,588514.0,553936.0
just friends,2005,nan,hackensack (live),adam schlesinger+chris collingwood+fountains of wayne,605796.0,495798.0
antonio vega. tu voz entre otras mil,"[2014, 1993]",nan,se dejaba llevar por ti,ketama / antonio vega talles,442168.0,351227.0
fastlane,"[2002, 1999]",gone native (#1.3),scorchi chorenie,the red elvises,702386.0,87955.0
saturday night live,"[1975, 2009]",tracy morgan/kelly clarkson (#34.18),i do not hook up,kelly clarkson+greg wells+katy perry+kara dioguardi,720366.0,203404.0
heart,"[1999, 1974]",nan,i'm gonna tear your playhouse down,earl randle+ann peebles,321150.0,466369.0
the kremlin letter,"[1970, 1991]",nan,stay young,maurice williams,948852.0,668416.0
20th annual music city news awards,1986,nan,louisiana woman  mississippi man,loretta lynn / conway twitty,69459.0,328502.0
weekend fantasies,1980,nan,on the run,pink floyd tribute,620377.0,719322.0
willkommen ï¿½sterreich,"[2007, 2005]",(#1.24),kamera (live),hansen band,166644.0,319419.0
damages,2007,new york sucks (#2.7),hive,the rogue element,907304.0,55859.0
ride,"[2000, 1988]",nan,a little groove,the herbaliser,204108.0,594311.0
the johnny cash show,1969,(#2.7),roll in my sweet baby's arms,charlie monroe+johnny cash,251897.0,250231.0
forgetting sarah marshall,"[2008, 2003]",nan,heavy lifting,marcus congleton+ambulance ltd.,550138.0,443275.0
reds,"[1981, 1994]",nan,country club - ragtime two-step  (lp version),scott joplin+joshua rifkin,808074.0,591466.0
premature,2014,nan,turn it around,glenn page+steve huggins+neil fromow+the len price 3,123174.0,582034.0
the hidden,"[1987, 1986]",nan,still in hollywood,johnette napolitano+concrete blonde,654896.0,664810.0
s.p.u.n.g,"[2002, 1999]",jag ljuger aldrig (#1.6),all you want,dido,873398.0,199475.0
dtv: golden oldies,1984,nan,lavender blue (dilly dilly),burl ives,666297.0,402978.0
the music of disney: a legacy in song,1992,nan,lavenders blue,burl ives,666297.0,674790.0
friends,"[1994, 1996]",the one with joeys fridge (#6.19),delicious,semisonic,600836.0,92982.0
shrek 2,"[2004, 2003]",nan,as lovers go,christopher carrabba+dashboard confessional,143872.0,613964.0
trente-six chandelles,1952,les grandes familles de trente-six chandelles : la chanson,buona sera (signorina),carl sigman+peter de rose+line renaud,75992.0,305069.0
donauinselfest live,"[2012, 2008]",simple minds,love song (extended remix),simple minds,934278.0,73653.0
a charlie brown christmas,1965,nan,christmas is coming,vince guaraldi+the the vince guaraldi trio,135180.0,331831.0
todds pop song reviews,"[2009, 2008]",top ten worst hit songs of 2009 (#2.30),i hate this part,wayne hector+lucas secon+jonas jeberg+mich hansen+the pussycat dolls,712216.0,297103.0
baseketball,1998,nan,take on me (live),pï¿½l waaktaar+magne furuholmen+morten harket+reel big fish,536352.0,356343.0
purple haze,"[1982, 1966]",nan,eight miles high,gene clark+roger mcguinn+david crosby+the byrds,169007.0,585423.0
the byrd who flew alone: the triumphs and tragedy of gene clark,"[2013, 1966]",nan,eight miles high,gene clark+roger mcguinn+david crosby+the byrds,169007.0,651920.0
wrestlemania xxvii,2011,nan,booyaka 619,thomas lopez+p.o.d.,505110.0,727429.0
need for speed: underground,2003,nan,who's who,dilated peoples,509829.0,554031.0
cheaper by the dozen 2,2005,nan,sunday morning (acoustic version),adam levine+james valentine+jesse carmichael+ryan dusick+mickey madden+maroon 5+arrangement with sony bmg music entertainment,815185.0,389356.0
dallas buyers club,"[2013, 1971]",nan,purple,johnny otis+shuggie otis,643319.0,403829.0
top of the pops,"[1964, 2001]",(2001-07-13),turn,feeder,99750.0,303743.0
tommys hollywood report,"[1988, 1983]",nan,swordfishtrombone,tom waits,622717.0,699190.0
qwerty,2007,(#2.2),sweetie,josh rouse,264719.0,190362.0
memï¿½ries de la tele,"[2007, 2004]",(#3.33),la rumba de barcelona,gato pï¿½rez,371609.0,151552.0
linstinct de mort,"[2008, 1967]",nan,i want to go back there again,berry gordy  (as berry gordy+jr.+chris clark,215675.0,505921.0
ziggy stardust and the spiders from mars,"[1973, 1990]",nan,suffragette city (1990 digital remaster),david bowie+david bowie   (as ziggy stardust+the spiders from mars),873312.0,732091.0
one hit wonderland,2012,just a friend by biz markie (#3.7),vapors [dub],antonio hardy+biz markie+marley marl,618142.0,171733.0
saturday night live,"[1975, 1985]",madonna/simple minds (#11.1),alive and kicking (2002 digital remaster),simple minds,295990.0,202655.0
hendrix: band of gypsys,"[1999, 1970]",nan,power of soul,jimi hendrix,950401.0,468426.0
shaft,1971,nan,the end theme,isaac hayes,56178.0,610642.0
my super psycho sweet 16,2009,nan,wood and wire,thrice,60089.0,550832.0
los 80,"[2008, 1984]",todo le da lo mismo (#3.8),sexo,jorge gonzï¿½lez+los prisioneros,382316.0,141549.0
me without you,"[2001, 1975]",nan,tears on my pillow (i can't take it),johnny nash+ernie smith,631852.0,536212.0
hendrix: band of gypsys,"[1999, 1969]",nan,room full of mirrors,jimi hendrix+billy cox+mitch mitchell,542612.0,468435.0
aphrodite calls the cops,"[2000, 1997]",nan,at the river,groove armada,825705.0,351822.0
led zeppelin dvd,"[2003, 1976]",nan,achilles last stand (album version),jimmy page+robert plant+led zeppelin,723077.0,514572.0
the astronauts wife,"[1999, 1979]",nan,my way,paul anka+gilles thibault+jacques revaux+claude franï¿½ois+sid vicious,88249.0,647058.0
stevie wonder with friends: celebrating a message of peace,"[2013, 1973]",nan,jesus children of america,stevie wonder / bebe winans / marvin l. winans,457018.0,630320.0
top of the pops 2,"[1994, 1996]",britpop: then and now,stardust (live),menswear,274981.0,298419.0
one hit wonderland,"[2012, 1992]",achy breaky heart by billy ray cyrus (#1.6),some gave all,billy ray cyrus+cindy cyrus,295597.0,171405.0
i spill your guts,"[2012, 2006]",nan,endtrails of you,suffocation,633939.0,479807.0
semi-pro,"[2008, 1975]",nan,tell me something good,stevie wonder+ronnie laws,731512.0,608647.0
the t.a.m.i. show,"[1964, 2006]",nan,that's what love is made of,smokey robinson+bobby rogers+warren moore+the miracles,388221.0,686940.0
satsang,2009,nan,ein stern (... der deinen namen trï¿½gt),nik p.+alf poier,6047.0,604460.0
rock concert,1973,(#2.16),eight days on the road ( lp version ),michael gayle+jerry ragovoy+foghat,758668.0,196620.0
the blues,2003,warming by the devils fire (#1.4),key to the highway,sonny terry / brownie mcghee,260744.0,239781.0
the marty stuart show,"[2008, 2001]",connie smith and the sundowners (#1.13),ain't had no lovin',dallas frazier+connie smith+the sundowners,852530.0,253326.0
por toda minha vida,"[2006, 1995]",mamonas assassinas (#2.1),pelados em santos,dinho+mamonas assassinas,166179.0,185688.0
top of the pops,"[1964, 1990]",(1978-09-14),down at the doctors (live 1989),mickey jupp+dr. feelgood,276505.0,299945.0
teenagers from uranus: sloppy seconds,2006,nan,pour it straight on to my brain,pink razors,311007.0,641007.0
dig!,"[2004, 1997]",nan,the devil may care (mom & dad don't),anton newcombe+the brian jonestown massacre,130472.0,415014.0
the son of kong,"[1933, 1971]",nan,maple leaf rag,scott joplin,425576.0,685054.0
the whoopee party,"[1932, 1971]",nan,maple leaf rag,scott joplin,425576.0,691219.0
the big something,"[2011, 1971]",nan,maple leaf rag,scott joplin+the new orleans feetwarmers,425576.0,649477.0
por una vez,"[2004, 2001]",nan,ven a pervertirme,malï¿½,50524.0,580340.0
unplugged,"[1989, 1997]",the corrs (#10.2),queen of hollywood ( lp version ),the corrs+glen ballard+dane deviller+sean hosein,835809.0,310055.0
resa i natten,1955,nan,goodnight_ irene,leadbelly,680877.0,592755.0
ï¿½lska mej,1986,nan,goodnight_ irene,leadbelly+john a. lomax,680877.0,733890.0
waterloo road,"[2006, 2009]",nowhere to run (#9.17),runaway,yeah yeah yeahs,247456.0,316021.0
top of the pops,"[1964, 2001]",(2001-01-12),everytime you need me (radio edit) (feat. maria rubia),fragma featuring maria rubia,870601.0,303522.0
fox hunt,"[1996, 1990]",nan,jeopardy,greg kihn,172345.0,443883.0
shaun the sheep movie,2015,nan,im a wonderful thing  baby,kid creole+peter schott+the coconuts,330103.0,611613.0
degrassi: the next generation,2001,drop the world: part 2 (#10.44),dont be deceived ,phillip larue,280515.0,63664.0
brain dead,"[2007, 2003]",nan,beautiful night,v.t. lewis+p. bentley+burden brothers,646170.0,375389.0
waynes world 2,"[1993, 1989]",nan,idiot summer,the gin blossoms,841491.0,718431.0
nativity 2: danger in the manger!,"[2012, 2006]",nan,rehab,amy winehouse,935932.0,553263.0
the fundamentals of caring,"[2016, 2009]",nan,take me as i am,heather anne dangelo+erika spring forster+annie hart+au revoir simone+arrangement with lip sync music inc.,598198.0,660992.0
griff the invisible,"[2010, 2009]",nan,take me as i am,h. dangelo / e. forster / a. hart+au revoir simone,598198.0,459174.0
bed & breakfast: love is a happy accident,"[2010, 2007]",nan,la,old man river+ori ovni),346288.0,362947.0
saturday night live,"[1975, 1992]",anthony edwards/foo fighters (#21.7),i'll stick around,foo fighters,220002.0,201351.0
the dilemma,"[2011, 2006]",nan,neon invasion,patrick goss+daniel hardacre+philip anthony johnson+kate prior+robert wright+neon plastix+arrangement with natural energy lab,643515.0,656490.0
undercover brother,"[2002, 1977]",nan,brick house,lionel richie+ronald lapread+walter orange+milan williams+the commodores,636380.0,708732.0
scrubs,2001,my tormented mentor (#3.15),roc ya body 'mic check 1_ 2' (the m.v.p. radio edit),m.v.p.+stagga lee,528594.0,205367.0
the truth about charlie,2002,nan,intro,silver johnson+cedric belise+khalid dehbi+samuel adebiyi+fabien philetas+gerard nubul+saï¿½an supa crew+arrangement with virgin records america+inc.,885420.0,688536.0
walking in the air,"[2005, 2006]",nan,panis angelicus,chloï¿½ agnew,898778.0,716926.0
top of the pops,"[1964, 1981]",(1981-06-18),how 'bout us,champaign,210684.0,301662.0
bedazzled,"[2000, 1967]",nan,just the one (ive been looking for),johnnie taylor+steve cropper+eddie floyd+al bell+arrangement with warner special products,637230.0,362992.0
van halen live: right here  right now,1993,nan,when it's love (live version),van halen+sammy hagar+edward van halen+michael anthony+alex van halen,923116.0,711643.0
caluga o menta,"[1990, 2008]",nan,el hombre que yo amo (2004 digital remaster),miriam hernï¿½ndez,948394.0,383126.0
mecano - los vï¿½deos,1992,nan,el 7 de septiembre,nacho cano+mecano,385200.0,536769.0
mecanografï¿½a,2006,nan,el 7 de septiembre,nacho cano+mecano,385200.0,536822.0
